name,description,implementation status,effect_level,version
Boxed,,,,1
Boxes,,,,6
BoxMatrix,Creates a matrix of ones with given radius,✅,pure,7
BoxObject,,,,10
BoxRatios,,,,1
BoxStyle,,,,2
BoxWhiskerChart,Creates a box-and-whisker chart from data,✅,pure,8
Bra,,,,13.3
BracketingBar,,,,3
BraKet,,,,13.3
BrayCurtisDistance,,,,6
BreadthFirstScan,,,,8
Break,,,,1
BridgeData,,,,10
BrightnessEqualize,,,,11.1
BroadcastStationData,,,,10
Brown,,,,5.1
BrownForsytheTest,,,,8
BrownianBridgeProcess,,,,9
BSplineBasis,,,,7
BSplineCurve,,,,7
BSplineFunction,,,,7
BSplineSurface,,,,7
BubbleChart,Creates a bubble chart from data,✅,pure,7
BubbleChart3D,,,,7
BubbleScale,,,,7
BubbleSizes,,,,7
BuckyballGraph,,,,13.1
BuildCompiledComponent,,,,13.2
BuildingData,,,,10
BulletGauge,,,,9
BusinessDayQ,,,,9
ButterflyGraph,,,,8
ButterworthFilterModel,,,,9
Button,,,,6
ButtonBar,,,,7
ButtonBox,,,,3
ButtonBoxOptions,,,,4
ButtonData,,,,3
ButtonFunction,,,,3
ButtonMinHeight,,,,3
ButtonNotebook,,,,3
ButtonSource,,,,3
Byte,,,,1
ByteArray,,,,10.1
ByteArrayFormat,,,,12
ByteArrayFormatQ,,,,12.2
ByteArrayQ,,,,10.1
ByteArrayToString,,,,11.2
ByteCount,,,,1
ByteOrdering,,,,5.2
CachePersistence,,,,10.2
CalendarConvert,,,,10
CalendarData,,,,9
CalendarType,,,,9
CalibratedSystemModel,,,,13.3
Callout,,,,11
CalloutMarker,,,,11
CalloutStyle,,,,11
CallPacket,,,,3
CanberraDistance,,,,6
Cancel,Cancels common factors in a rational expression,✅,pure,1
CancelButton,,,,6
CandlestickChart,,,,8
CanonicalGraph,,,,10
CanonicalizePolygon,,,,12
CanonicalizePolyhedron,,,,12
CanonicalizeRegion,,,,12.3
CanonicalName,,,,10
CanonicalWarpingCorrespondence,,,,11
CanonicalWarpingDistance,,,,11
CantorMesh,,,,11.1
CantorStaircase,,,,10
Canvas,,,,12.2
Cap,,,,3
CapForm,,,,7
CapitalDifferentialD,,,,3
Capitalize,Capitalizes the first letter of a string,✅,pure,10.1
CapsuleShape,,,,10.2
CaptureRunning,,,,11.2
CaputoD,,,,13.1
CarlemanLinearize,,,,10
CarlsonRC,,,,12.3
CarlsonRD,,,,12.3
CarlsonRE,,,,12.3
CarlsonRF,,,,12.3
CarlsonRG,,,,12.3
CarlsonRJ,,,,12.3
CarlsonRK,,,,12.3
CarlsonRM,,,,12.3
CarmichaelLambda,,,,4
CaseOrdering,,,,10.3
Cases,Returns elements matching a pattern,✅,pure,1
CaseSensitive,,,,10.1
Cashflow,,,,8
Casoratian,,,,7
Cast,,,,13.1
Catalan,,,,1
CatalanNumber,Returns the nth Catalan number,✅,pure,6
Catch,Catches a value thrown by Throw,✅,pure,1
CategoricalDistribution,,,,12.1
Catenate,Flattens one level of lists,✅,pure,10
CatenateLayer,,,,11
CauchyDistribution,,,,6
CauchyMatrix,,,,13.2
CauchyPointProcess,,,,12.2
CauchyWindow,,,,9
CayleyGraph,,,,8
CDF,,,,6
CDFDeploy,,,,8
CDFWavelet,,,,8
Ceiling,Returns the smallest integer greater than or equal to a number,✅,pure,1
CelestialSystem,,,,10
Cell,,,,3
CellAutoOverwrite,,,,3
CellBaseline,,,,3
CellBracketOptions,,,,4
CellChangeTimes,,,,6
CellContext,,,,6
CellDingbat,,,,3
CellDingbatMargin,,,,13.1
CellDynamicExpression,,,,8
CellEditDuplicate,,,,3
CellEpilog,,,,6
CellEvaluationDuplicate,,,,3
CellEvaluationFunction,,,,6
CellEventActions,,,,6
CellFrame,,,,3
CellFrameColor,,,,4
CellFrameLabelMargins,,,,4
CellFrameLabels,,,,4
CellFrameMargins,,,,3
CellGroup,,,,6
CellGroupData,,,,3
CellGrouping,,,,3
CellID,,,,6
CellLabel,,,,3
CellLabelAutoDelete,,,,3
CellLabelStyle,,,,11.3
CellLabelTemplate,,,,13.1
CellMargins,,,,3
CellObject,,,,9
CellOpen,,,,3
CellPrint,,,,3
CellProlog,,,,6
Cells,,,,9
CellStyle,,,,9
CellStyleImportRules,,,,14
CellTags,,,,3
CellularAutomaton,Generates a cellular automaton evolution,✅,pure,4.2
CensoredDistribution,,,,8
Censoring,,,,8
Center,,,,1
CenterArray,,,,11
CenterDot,,,,3
CenteredInterval,,,,13
CentralFeature,,,,11.1
CentralMoment,Computes the k-th central moment of a list,✅,pure,6
CentralMomentGeneratingFunction,,,,8
Cepstrogram,,,,11.1
CepstrogramArray,,,,11.1
CepstrumArray,,,,11.1
CForm,,,,1
ChampernowneNumber,,,,7
ChannelBase,,,,11
ChannelBrokerAction,,,,11.2
ChannelHistoryLength,,,,12.1
ChannelListen,,,,11
ChannelListener,,,,11
